Year,Unit,Treatment,Block,Unique_plot,Plot,Diam_cm,Ht_cm,Sp,Decay
1992,C2,heavy,mesic mature,1,1,14,13,Hw,2
1992,C2,heavy,mesic mature,1,1,14,0,Ac,2
1992,C2,heavy,mesic mature,1,1,12,0,Ac,2
1992,C2,heavy,mesic mature,1,1,27,0,At,3
1992,C2,heavy,mesic mature,1,1,12,2,At,2
1992,C2,heavy,mesic mature,1,1,23,0,Hw,3
1992,C2,heavy,mesic mature,1,1,13,0,U,4
1992,C2,heavy,mesic mature,1,1,10,5,At,2
1992,C2,heavy,mesic mature,1,1,14,27,At,2
1992,C2,heavy,mesic mature,1,1,10,12,Hw,2
1992,C2,heavy,mesic mature,1,1,19,0,Ac,2
1992,C2,heavy,mesic mature,1,1,10,14,Hw,3
1992,C2,heavy,mesic mature,1,1,13,10,At,2
1992,C2,heavy,mesic mature,1,1,12,7,Hw,2
1992,C2,heavy,mesic mature,1,1,18,0,At,3
1992,C2,heavy,mesic mature,1,1,24,17,Ac,2
1992,C2,heavy,mesic mature,2,2,14,20,Ba,2
1992,C2,heavy,mesic mature,2,2,37,0,U,4
1992,C2,heavy,mesic mature,2,2,15,54,Hw,3
1992,C2,heavy,mesic mature,2,2,24,14,U,3
1992,C2,heavy,mesic mature,2,2,25,26,Sx,2
1992,C2,heavy,mesic mature,2,2,42,0,U,4
1992,C2,heavy,mesic mature,2,2,28,185,Ba,1
1992,C2,heavy,mesic mature,2,2,24,24,Sx,1
1992,C2,heavy,mesic mature,2,2,47,5,Hw,3
1992,C2,heavy,mesic mature,2,2,13,6,Ba,3
1992,C2,heavy,mesic mature,2,2,48,241,Ba,1
1992,C2,heavy,mesic mature,2,2,13,0,Cw,3
1992,C2,heavy,mesic mature,2,2,53,10,U,3
1992,C2,heavy,mesic mature,2,2,14,6,U,3
1992,C2,heavy,mesic mature,2,2,28,0,Ba,2
1992,C2,heavy,mesic mature,2,2,12,0,Sx,1
1992,C2,heavy,mesic mature,2,2,13,3,Hw,2
1992,C2,heavy,mesic mature,3,3,13,0,Cw,2
1992,C2,heavy,mesic mature,3,3,12,4,Hw,3
1992,C2,heavy,mesic mature,3,3,29,2,Hw,1
1992,C2,heavy,mesic mature,3,3,11,24,Hw,1
1992,C2,heavy,mesic mature,3,3,27,55,Sx,1
1992,C2,heavy,mesic mature,3,3,11,15,Hw,2
1992,C2,heavy,mesic mature,3,3,11,11,Bl,3
1992,C2,heavy,mesic mature,3,3,18,120,Hw,1
1992,C2,heavy,mesic mature,3,3,22,19,Hw,1
