Year,Treatment,Block,Stand,Unique_plot,Plot,Diam_cm,Ht_cm,Sp,Decay
1993,clearcut,submesic mature,A1,1,1,11,0,Cw,1
1993,clearcut,submesic mature,A1,1,1,14,0,Hw,1
1993,clearcut,submesic mature,A1,1,1,14,11,U,2
1993,clearcut,submesic mature,A1,1,1,19,0,U,3
1993,clearcut,submesic mature,A1,1,1,16,0,U,2
1993,clearcut,submesic mature,A1,1,1,12,0,U,2
1993,clearcut,submesic mature,A1,1,1,19,0,U,2
1993,clearcut,submesic mature,A1,1,1,12,0,Cw,1
1993,clearcut,submesic mature,A1,1,1,12,0,Pl,1
1993,clearcut,submesic mature,A1,1,1,17,0,At,1
1993,clearcut,submesic mature,A1,1,1,13,0,U,2
1993,clearcut,submesic mature,A1,1,1,13,0,U,2
1993,clearcut,submesic mature,A1,1,1,19,0,U,4
1993,clearcut,submesic mature,A1,1,1,11,7,U,2
1993,clearcut,submesic mature,A1,1,1,10,0,Cw,1
1993,clearcut,submesic mature,A1,1,1,12,5,Cw,1
1993,clearcut,submesic mature,A1,1,1,22,0,At,1
1993,clearcut,submesic mature,A1,1,1,11,0,Cw,1
1993,clearcut,submesic mature,A1,1,1,28,0,Cw,3
1993,clearcut,submesic mature,A1,1,1,17,16,Pl,1
1993,clearcut,submesic mature,A1,1,1,27,0,Cw,2
1993,clearcut,submesic mature,A1,1,1,37,0,At,1
1993,clearcut,submesic mature,A1,1,1,12,29,Hw,1
1993,clearcut,submesic mature,A1,1,1,18,0,At,1
1993,clearcut,submesic mature,A1,1,1,14,0,U,3
1993,clearcut,submesic mature,A1,1,1,10,8,U,2
1993,clearcut,submesic mature,A1,1,1,15,0,Ep,1
1993,clearcut,submesic mature,A1,1,1,14,5,U,2
1993,clearcut,submesic mature,A1,1,1,12,0,Hw,1
1993,clearcut,submesic mature,A1,1,1,11,10,Cw,1
1993,clearcut,submesic mature,A1,1,1,11,8,U,2
1993,clearcut,submesic mature,A1,2,2,25,33,At,1
1993,clearcut,submesic mature,A1,2,2,33,0,Hw,2
1993,clearcut,submesic mature,A1,2,2,13,47,Sx,1
1993,clearcut,submesic mature,A1,2,2,25,0,At,1
1993,clearcut,submesic mature,A1,2,2,15,11,U,2
1993,clearcut,submesic mature,A1,2,2,11,0,U,2
1993,clearcut,submesic mature,A1,2,2,15,0,At,1
1993,clearcut,submesic mature,A1,2,2,11,8,At,1
1993,clearcut,submesic mature,A1,2,2,23,0,U,2
1993,clearcut,submesic mature,A1,2,2,13,0,U,2
1993,clearcut,submesic mature,A1,2,2,10,12,At,1
1993,clearcut,submesic mature,A1,2,2,17,0,At,2
1993,clearcut,submesic mature,A1,2,2,19,29,U,2
1993,clearcut,submesic mature,A1,2,2,13,0,At,2
1993,clearcut,submesic mature,A1,2,2,17,0,U,2
1993,clearcut,submesic mature,A1,2,2,13,0,U,2
1993,clearcut,submesic mature,A1,2,2,12,0,U,3
1993,clearcut,submesic mature,A1,2,2,12,63,Cw,1
1993,clearcut,submesic mature,A1,2,2,36,0,At,1
1993,clearcut,submesic mature,A1,2,2,13,23,Hw,1
1993,clearcut,submesic mature,A1,2,2,23,0,At,1
