Year,Unit,Treatment,Block,Unique_plot,Grid_Pt,Line,Dist_m,Tag#,Sp,Decay,Diam_cm,Ht_cm,Tilt_deg,Length_class,Meas_length,Notes
2011,C2,heavy,mesic mature,1,E050,2,1.9,305,U,1,7.7,54,2,10,,might be Alnus incana ssp tenuifolia
2011,C2,heavy,mesic mature,1,E050,2,14.3,306,Hw,3,22.3,0,2,5,,
2011,C2,heavy,mesic mature,1,E050,2,20.1,307,U,4,8.3,18,2,5,,
2011,C2,heavy,mesic mature,1,E050,2,20.5,308,U,3,30,7,0,10,,
2011,C2,heavy,mesic mature,1,E050,2,26.9,309,U,2,18.7,2,12,10,,
2011,C2,heavy,mesic mature,1,E050,2,27.8,310,U,3,15.3,3,0,5,10.9,
2011,C2,heavy,mesic mature,1,E050,2,28.2,311,U,3,14.8,0,20,5,,
2011,C2,heavy,mesic mature,1,E050,2,29.5,312,U,3,8.2,12,8,5,,
2011,C2,heavy,mesic mature,1,E050,2,30,313,U,4,15.1,0,0,10,,
2011,C2,heavy,mesic mature,1,E050,2,28.8,314,U,3,15.2,59,18,10,,
2011,C2,heavy,mesic mature,1,E050,3,1.3,315,U,3,14.1,2,8,10,,
2011,C2,heavy,mesic mature,1,E050,3,4.3,316,U,2,44.6,45,7,10,,
2011,C2,heavy,mesic mature,1,E050,3,7.7,317,U,4,12.4,12,5,2,,might be Alnus incana ssp tenuifolia
2011,C2,heavy,mesic mature,1,E050,3,10.5,318,Ep,3,26.6,11,10,5,,
2011,C2,heavy,mesic mature,1,E050,3,11.9,319,Ep,3,24.3,28,35,1,,
2011,C2,heavy,mesic mature,1,E050,3,16.9,321,U,3,10.1,10.1,17,2,2.42,
2011,C2,heavy,mesic mature,1,E050,3,17.8,322,U,3,17.4,17.4,7,5,,
2011,C2,heavy,mesic mature,1,E050,3,18.2,323,U,3,20.3,0,15,5,,
2011,C2,heavy,mesic mature,1,E050,3,18.9,324,U,3,9.3,8,25,1,,
2011,C2,heavy,mesic mature,1,E050,1,5.2,301,U,3,10.4,12,5,10,,might be Alnus incana ssp tenuifolia
2011,C2,heavy,mesic mature,1,E050,1,8.6,302,U,3,19,10,8,10,,
2011,C2,heavy,mesic mature,1,E050,1,9.5,303,U,3,11.4,16,17,10,,might be Alnus incana ssp tenuifolia
2011,C2,heavy,mesic mature,1,E050,1,28.3,304,U,3,11.5,11,7,10,,
2011,C2,heavy,mesic mature,2,D000,2,1.1,336,U,4,18.4,0,10,2,,
2011,C2,heavy,mesic mature,2,D000,2,2.4,337,U,3,20.5,7,20,2,,
2011,C2,heavy,mesic mature,2,D000,2,3.8,338,U,2,13.8,0,8,2,,
2011,C2,heavy,mesic mature,2,D000,2,4.5,339,U,3,21.7,0,5,2,,
2011,C2,heavy,mesic mature,2,D000,2,9.6,340,U,3,19.2,0,5,2,,
2011,C2,heavy,mesic mature,2,D000,2,10.1,341,U,4,9.8,0,2,1,,
2011,C2,heavy,mesic mature,2,D000,2,10.5,342,U,3,11.2,0,2,2,,
2011,C2,heavy,mesic mature,2,D000,2,19.6,343,U,4,15,0,9,5,,
2011,C2,heavy,mesic mature,2,D000,2,23,344,U,3,8,5,10,2,,
2011,C2,heavy,mesic mature,2,D000,2,28.6,345,U,3,10.1,0,10,2,2.4,
2011,C2,heavy,mesic mature,2,D000,2,0.3,346,U,2,18,0,5,5,,
2011,C2,heavy,mesic mature,2,D000,2,1.7,347,U,3,12.8,15,0,5,,
2011,C2,heavy,mesic mature,2,D000,3,2.6,348,U,3,18.1,6,0,5,,
2011,C2,heavy,mesic mature,2,D000,3,5.5,349,U,3,8.7,0,0,1,,
2011,C2,heavy,mesic mature,2,D000,3,5.7,350,U,2,15.5,0,0,2,,
2011,C2,heavy,mesic mature,2,D000,3,6.6,351,U,3,12,0,0,1,,
2011,C2,heavy,mesic mature,2,D000,3,8.4,352,U,2,15.2,0,5,2,,
2011,C2,heavy,mesic mature,2,D000,3,9.2,353,U,3,15,0,10,5,,
2011,C2,heavy,mesic mature,2,D000,3,9.5,354,U,4,16.5,0,5,2,,
2011,C2,heavy,mesic mature,2,D000,3,12.1,355,U,3,14,7,5,5,6.2,
2011,C2,heavy,mesic mature,2,D000,3,13.3,356,U,3,15.1,0,10,2,,
2011,C2,heavy,mesic mature,2,D000,3,25.1,357,U,3,14.1,5,10,2,,
2011,C2,heavy,mesic mature,2,D000,3,25.9,358,U,2,28.2,10,2,5,,
2011,C2,heavy,mesic mature,2,D000,1,2.3,325,Hw,2,18.5,0,10,5,,
2011,C2,heavy,mesic mature,2,D000,1,5.8,326,U,3,11,0,10,2,,
2011,C2,heavy,mesic mature,2,D000,1,6.15,327,U,2,11.5,0,10,2,,
2011,C2,heavy,mesic mature,2,D000,1,10.9,328,U,3,11,0,15,1,,
2011,C2,heavy,mesic mature,2,D000,1,16.4,330,U,2.5,15.7,0,14,2,,
2011,C2,heavy,mesic mature,2,D000,1,20.7,331,U,2,22.1,16,20,2,,
2011,C2,heavy,mesic mature,2,D000,1,22.8,332,U,2,9.9,26,12,2,,
2011,C2,heavy,mesic mature,2,D000,1,26.4,333,Hw,2,25.8,40,18,10,,
2011,C2,heavy,mesic mature,2,D000,1,0.1,334,U,3,13.9,0,10,2,,
2011,C2,heavy,mesic mature,2,D000,1,0.2,335,U,3,12,0,2,5,5.9,
2011,C2,heavy,mesic mature,3,G050,2,8.05,366,Ep,2,25,0,0,10,,
2011,C2,heavy,mesic mature,3,G050,2,13.4,367,U,2,18.5,23,5,5,,
2011,C2,heavy,mesic mature,3,G050,2,15.6,368,Hw,2,20.2,54,0,5,,
2011,C2,heavy,mesic mature,3,G050,2,17.4,369,U,4,28,0,0,5,,
2011,C2,heavy,mesic mature,3,G050,2,18.1,370,Ep,4,15.5,0,0,2,,
2011,C2,heavy,mesic mature,3,G050,2,20.6,371,Hw,3,21.8,10,0,10,18.3,
2011,C2,heavy,mesic mature,3,G050,2,22.2,372,Hw,1,27.1,34,0,10,,
2011,C2,heavy,mesic mature,3,G050,2,26.9,373,U,3,22.6,0,15,1,,
2011,C2,heavy,mesic mature,3,G050,2,29.9,374,U,4,22.9,1,5,5,,
2011,C2,heavy,mesic mature,3,G050,3,0.1,375,U,3,11.1,0,3,2,,
2011,C2,heavy,mesic mature,3,G050,3,1.1,376,U,4,14.8,0,5,5,,
2011,C2,heavy,mesic mature,3,G050,3,3.7,377,Bl,4,7.9,44,5,5,,
2011,C2,heavy,mesic mature,3,G050,3,7.1,378,Sx,2,52,5,2,10,,
2011,C2,heavy,mesic mature,3,G050,3,18.9,379,U,4,51,0,5,5,,
2011,C2,heavy,mesic mature,3,G050,3,22.6,380,Bl,2,28.6,52,5,10,,
2011,C2,heavy,mesic mature,3,G050,1,6.2,362,U,3,8.2,0,5,2,,
2011,C2,heavy,mesic mature,3,G050,1,16.2,363,U,2.5,11.5,6,0,2,,
2011,C2,heavy,mesic mature,3,G050,1,20.1,364,Hw,1,11.3,33,0,10,,
2011,C2,heavy,mesic mature,3,G050,1,22.7,365,Hw,2,13.5,0,6,10,,
2011,B3,heavy,submesic mature,4,A050,2,8.1,384,U,3,11.5,0,2,2,,
2011,B3,heavy,submesic mature,4,A050,2,18.45,385,U,3,8.6,9,10,2,,
2011,B3,heavy,submesic mature,4,A050,2,19.9,386,U,3,12.2,0,7,2,,
2011,B3,heavy,submesic mature,4,A050,3,15.6,387,U,3,9.3,4,5,5,,
2011,B3,heavy,submesic mature,4,A050,3,22,388,Ep,4,21,0,4,5,,
2011,B3,heavy,submesic mature,4,A050,3,22.65,389,Ep,4,11.2,0,3,5,,
2011,B3,heavy,submesic mature,4,A050,1,25.7,382,U,3,7.7,20,5,2,,
2011,B3,heavy,submesic mature,4,A050,1,27.5,383,U,2,19.3,10,8,5,,
2011,B3,heavy,submesic mature,5,B050,2,7.9,395,Ep,3,22.9,2,7,2,,
2011,B3,heavy,submesic mature,5,B050,2,24,396,U,4,15.2,0,0,10,,
2011,B3,heavy,submesic mature,5,B050,2,24.7,397,U,3,23,0,3,1,,
2011,B3,heavy,submesic mature,5,B050,2,25.3,398,U,4,10.5,0,10,2,,
2011,B3,heavy,submesic mature,5,B050,3,4.4,399,Hw,2,20.4,0,0,5,,
2011,B3,heavy,submesic mature,5,B050,1,2.95,390,U,4,18.7,0,5,1,,
2011,B3,heavy,submesic mature,5,B050,1,10.5,391,U,4,11.6,13,0,2,4.9,
2011,B3,heavy,submesic mature,5,B050,1,15.6,392,Hw,2,11.7,0,0,1,,
2011,B3,heavy,submesic mature,5,B050,1,25.3,393,U,3,24.4,0,3,5,,
2011,B3,heavy,submesic mature,5,B050,1,29.5,394,Hw,1,20,120,2,10,,
2011,B3,heavy,submesic mature,6,D000,2,4.5,611,U,3,11.2,0,25,5,,
2011,B3,heavy,submesic mature,6,D000,2,6.2,612,At,1,9.2,66,15,10,25.3,
2011,B3,heavy,submesic mature,6,D000,2,13.1,613,U,3,24.6,18,15,5,,
2011,B3,heavy,submesic mature,6,D000,2,18.4,614,Hw,2,9.1,4,13,5,,
2011,B3,heavy,submesic mature,6,D000,2,20.1,615,U,3,12.3,3,10,5,,
2011,B3,heavy,submesic mature,6,D000,2,21,616,U,3,19.3,0,10,5,,
2011,B3,heavy,submesic mature,6,D000,2,21.2,617,U,3,21.1,0,15,2,,
2011,B3,heavy,submesic mature,6,D000,2,28.3,618,U,4,12.3,0,20,5,,
2011,B3,heavy,submesic mature,6,D000,3,2.9,619,U,4,14.6,0,20,2,,
2011,B3,heavy,submesic mature,6,D000,3,8.5,620,U,4,17.7,0,2,5,,
2011,B3,heavy,submesic mature,6,D000,3,16.6,621,U,4,8.6,0,10,1,21.2,
2011,B3,heavy,submesic mature,6,D000,3,18.1,622,U,4,17.4,0,15,10,,
2011,B3,heavy,submesic mature,6,D000,3,20.7,623,U,3,19.4,4,18,5,,
2011,B3,heavy,submesic mature,6,D000,3,21.3,624,U,3,18.7,19,17,5,,
2011,B3,heavy,submesic mature,6,D000,3,29.6,626,U,3,13.5,2,15,5,,
2011,B3,heavy,submesic mature,6,D000,1,0.7,601,Hw,2,24.2,30,17,10,,
2011,B3,heavy,submesic mature,6,D000,1,8.35,602,U,3,17.5,0,12,10,16.8,
2011,B3,heavy,submesic mature,6,D000,1,13.7,603,Act,1,21,31,20,10,,
2011,B3,heavy,submesic mature,6,D000,1,14.5,604,Act,3,29.2,0,15,10,,
2011,B3,heavy,submesic mature,6,D000,1,14.7,605,U,4,21.1,5,10,10,,
2011,B3,heavy,submesic mature,6,D000,1,15.1,606,U,3,36.8,0,20,10,,
2011,B3,heavy,submesic mature,6,D000,1,17.6,607,U,3,18.2,0.5,21,5,,
2011,B3,heavy,submesic mature,6,D000,1,21.3,608,U,3,15.5,15,15,10,,
2011,B3,heavy,submesic mature,6,D000,1,26.3,609,Act,3.5,16.3,0,11,10,,
2011,B3,heavy,submesic mature,6,D000,1,28.2,610,Act,2,12.3,37,15,10,,
2011,C2,heavy,mesic mature,7,K100,2,13.9,635,U,2,10.2,9,2,5,,
2011,C2,heavy,mesic mature,7,K100,2,27.2,636,U,2,11.2,34,3,5,,
2011,C2,heavy,mesic mature,7,K100,2,27.5,637,U,3,14.3,0,24,2,,
2011,C2,heavy,mesic mature,7,K100,3,1.5,638,U,3,12.7,0,17,5,,
2011,C2,heavy,mesic mature,7,K100,3,4.5,639,U,4,24.2,0,2,5,,
2011,C2,heavy,mesic mature,7,K100,3,19.1,641,U,4,10.5,0,2,2,,
2011,C2,heavy,mesic mature,7,K100,3,19.8,642,U,3,42,0,5,10,,
2011,C2,heavy,mesic mature,7,K100,3,25.75,643,U,4,21.2,0,10,10,,
2011,C2,heavy,mesic mature,7,K100,1,3.65,628,Hw,1,12.4,10,2,2,,
2011,C2,heavy,mesic mature,7,K100,1,5,629,U,5,34.7,0,1,2,,
2011,C2,heavy,mesic mature,7,K100,1,20.9,630,U,3,8.7,20,4,2,,
2011,C2,heavy,mesic mature,7,K100,1,21.6,631,U,3,9.5,2,5,1,,
2011,C2,heavy,mesic mature,7,K100,1,23.9,632,U,3,10.8,9,29,1,,
2011,C2,heavy,mesic mature,7,K100,1,24.5,633,Hw,2,30.2,20,11,10,,
2011,C2,heavy,mesic mature,7,K100,1,26.6,634,U,3,14.5,0,10,5,4.7,
2011,C2,heavy,mesic mature,8,J200,2,0.2,650,U,3.5,15,0,30,1,,
2011,C2,heavy,mesic mature,8,J200,2,9.1,651,U,4,33.5,0,2,5,,
2011,C2,heavy,mesic mature,8,J200,2,10.8,652,U,2,13.6,31,5,2,,
2011,C2,heavy,mesic mature,8,J200,2,12,653,U,2.5,14.7,27,12,2,,
2011,C2,heavy,mesic mature,8,J200,2,17.2,654,Hw,1,25.2,75,8,10,20.6,
2011,C2,heavy,mesic mature,8,J200,2,17.8,655,Bl,1.5,8,24,13,2,,
2011,C2,heavy,mesic mature,8,J200,2,23.2,656,U,3,8.4,0,2,1,,
2011,C2,heavy,mesic mature,8,J200,2,26.2,657,Hw,2,9.8,52,10,5,,
2011,C2,heavy,mesic mature,8,J200,2,26.1,658,U,2,32.3,3,5,10,,
2011,C2,heavy,mesic mature,8,J200,3,0.75,659,U,2.5,16.5,0,18,2,,
2011,C2,heavy,mesic mature,8,J200,3,2.3,660,U,2,17.5,12,23,5,,
2011,C2,heavy,mesic mature,8,J200,3,2.95,661,U,3.5,23.1,0,5,1,,
2011,C2,heavy,mesic mature,8,J200,3,6.3,662,U,2.5,28.9,55,7,2,,
2011,C2,heavy,mesic mature,8,J200,3,7.8,663,U,4,18.5,0,2,2,3.2,
2011,C2,heavy,mesic mature,8,J200,3,10.4,664,U,2.5,32.2,0,7,5,,
2011,C2,heavy,mesic mature,8,J200,3,11.4,665,U,2.5,19,17,8,5,,
2011,C2,heavy,mesic mature,8,J200,3,11.7,666,U,2.5,18.5,3,10,5,,
2011,C2,heavy,mesic mature,8,J200,3,17.8,667,U,3,18.6,1,17,5,,
2011,C2,heavy,mesic mature,8,J200,3,28.5,668,U,3,18.8,0,5,1,,
2011,C2,heavy,mesic mature,8,J200,1,3.35,644,Hw,2,31,31,7,10,15.4,
2011,C2,heavy,mesic mature,8,J200,1,4.1,645,Hw,2,9.2,15,5,2,,
2011,C2,heavy,mesic mature,8,J200,1,5.6,646,Bl,1,7.5,30,20,2,,
2011,C2,heavy,mesic mature,8,J200,1,17.5,648,U,3,8.1,23,19,1,,
2011,C2,heavy,mesic mature,8,J200,1,19,649,U,3.5,38,0,4,10,,
2011,C2,heavy,mesic mature,9,F150,2,2.65,682,Hw,2.5,7.6,0,20,5,,
2011,C2,heavy,mesic mature,9,F150,2,5.5,683,Cw,1,11.8,45,7,10,,
2011,C2,heavy,mesic mature,9,F150,2,8.6,684,Ep,4,21.4,0,2,10,21.6,
2011,C2,heavy,mesic mature,9,F150,2,11.6,685,Ep,4,18.7,8,5,5,,
2011,C2,heavy,mesic mature,9,F150,2,11.85,686,Hw,3,12.1,0,3,5,,
2011,C2,heavy,mesic mature,9,F150,2,12.7,687,U,2,8.7,0,5,5,,
2011,C2,heavy,mesic mature,9,F150,2,21,688,Hw,3,8.5,0,5,2,,
2011,C2,heavy,mesic mature,9,F150,2,25,689,U,3.5,8.3,10,7,1,,"boardwalk at 28 to 29 m, last 2 pieces are from boardwalk construction"
