Year,Unit,Treatment,Block,TreatmentUnit,TreatmentType,TreatmentUnitType,Plot,Subplot,CWD_piece,Sp,Decay,Diam1m,Diam2m,large_diam,small_diam,Elev1,Elev2,high_elev,low_elev,Lngth2bndry1,Lngth2bndry2,LngthInPlot,Lngth2end,Bark,Growth
2018,D2-0,clearcut,mesic oldgrowth,D2,D2-0,D2,0,,10,U,3,0.12,0.101,0.12,0.101,0,0,0,0,0,0,1.2,1.2,0,3
2018,B2-4-M,heavy,subhygric mature,B2,B2-4,B2 M,4,M,18,Hw,3,0.11,0.032,0.11,0.032,0,0,0,0,0.2,0,0.2,10,2,1
2018,D2-0,clearcut,mesic oldgrowth,D2,D2-0,D2,0,,8,U,3,0.056,0.102,0.102,0.056,0,1,1,0,4.6,0,4.6,5,0,3
2018,C1-0,noharvest,mesic mature,C1,C1-0,C1,0,,7,Hw,2,0.11,0.143,0.143,0.11,0,32,32,0,4.2,4.3,0.1,5.3,2,1
2018,C1-1,noharvest,mesic mature,C1,C1-1,C1,1,,33,Pl,2,0.034,0.195,0.195,0.034,11.5,21,21,11.5,8.2,8.3,0.1,20.7,2,0
2018,B1-3,noharvest,submesic mature,B1,B1-3,B1,3,,21,Hw,4,0.104,0.102,0.104,0.102,0,0,0,0,0.2,0,0.2,1.8,2,2
2018,A4-4,noharvest,subhygric mature,A4,A4-4,A4,4,,11,Hw,4,0.16,0.132,0.16,0.132,0,33,33,0,0.1,0,0.1,2.4,2,3
2018,D2-0,clearcut,mesic oldgrowth,D2,D2-0,D2,0,,11,U,3,0.22,0.29,0.29,0.22,0,8,8,0,1.4,0,1.4,2.9,0,3
2018,C2-2-M,heavy,mesic mature,C2,C2-2,C2 M,2,M,35,Hw,3,0.11,0.03,0.11,0.03,0,0,0,0,0.4,0,0.4,6,0,2
2018,C1-1,noharvest,mesic mature,C1,C1-1,C1,1,,53,Hw,3,0.11,0.037,0.11,0.037,0,0,0,0,0.4,0,0.4,7,2,1
2018,C2-4-M,heavy,mesic mature,C2,C2-4,C2 M,4,M,4,Hw,2,0.111,0.083,0.111,0.083,30,0,30,0,0.3,0,0.3,2.9,2,1
2018,C2-0-M,heavy,mesic mature,C2,C2-0,C2 M,0,M,1,Cw,1,0.018,0.107,0.107,0.018,142,0,142,0,7.5,8,0.5,8.2,2,2
2018,D2-0,clearcut,mesic oldgrowth,D2,D2-0,D2,0,,2,Hw,3,0.8,0.6,0.8,0.6,0,0,0,0,7,0,7,11.5,2,2
2018,D2-1,clearcut,mesic oldgrowth,D2,D2-1,D2,1,,15,Hw,4,0.095,0.1,0.1,0.095,0,0,0,0,0,0,1.1,1.1,1,3
2018,D2-1,clearcut,mesic oldgrowth,D2,D2-1,D2,1,,7,U,3,0.12,0.07,0.12,0.07,0,0,0,0,0,0,1.1,1.1,0,3
2018,B3-4-M,heavy,submesic mature,B3,B3-4,B3 M,4,M,9,Hw,2,0.024,0.139,0.139,0.024,55,0,55,0,2.7,3.1,0.4,7.4,3,1
2018,D2-1,clearcut,mesic oldgrowth,D2,D2-1,D2,1,,12,U,4,0.075,0.122,0.122,0.075,0,0,0,0,1.2,0,1.2,3.7,0,3
2018,A1-3,clearcut,submesic mature,A1,A1-3,A1,3,,19,U,4,0.122,0.168,0.168,0.122,0,0,0,0,0.2,0,0.2,1.5,0,3
2018,D2-1,clearcut,mesic oldgrowth,D2,D2-1,D2,1,,11,Hw,3,0.06,0.1,0.1,0.06,17,10,17,10,0,0,2.6,2.6,1,3
