unique,Unit,Treatment,Block,Grid_Pt,Unique_plot,Line,Dist_m,Sp,Tag#,Diam_2019_cm,Decay_2019,length.new.fall.2019..m.,Length_2011_class,Meas_length_2011,Year,Notes.2019
1,C2,heavy,mesic mature,E050,1,1,5.2,U,301,10.8,3,NA,10,,2011,out of patch
2,C2,heavy,mesic mature,E050,1,1,8.6,U,302,18.5,4,NA,10,,2011,out of patch
3,C2,heavy,mesic mature,E050,1,1,9.5,U,303,11.8,3,NA,10,,2011,out of patch
4,C2,heavy,mesic mature,E050,1,1,28.3,U,304,10,3,NA,10,,2011,in patch
6,C2,heavy,mesic mature,E050,1,2,14.3,Hw,306,22.2,4,NA,5,,2011,
8,C2,heavy,mesic mature,E050,1,2,20.5,U,308,30,4,NA,10,,2011,
9,C2,heavy,mesic mature,E050,1,2,26.9,U,309,18,3,NA,10,,2011,
10,C2,heavy,mesic mature,E050,1,2,27.8,U,310,15.2,3,NA,5,10.9,2011,
11,C2,heavy,mesic mature,E050,1,2,28.2,U,311,14.8,3,NA,5,,2011,
14,C2,heavy,mesic mature,E050,1,2,28.8,U,314,15.2,4,NA,10,,2011,
15,C2,heavy,mesic mature,E050,1,3,1.3,U,315,14,4,NA,10,,2011,out of patch
16,C2,heavy,mesic mature,E050,1,3,4.3,U,316,35.8,4,NA,10,,2011,out of patch
17,C2,heavy,mesic mature,E050,1,3,7.7,U,317,11,4,NA,2,,2011,out of patch
18,C2,heavy,mesic mature,E050,1,3,10.5,Ep,318,26.8,4,NA,5,,2011,out of patch
19,C2,heavy,mesic mature,E050,1,3,11.9,Ep,319,22,4,NA,1,,2011,out of patch
22,C2,heavy,mesic mature,E050,1,3,18.2,U,323,17.8,4,NA,5,,2011,in patch
24,C2,heavy,mesic mature,D000,2,1,2.3,Hw,325,16.7,3,NA,5,,2011,
25,C2,heavy,mesic mature,D000,2,1,5.8,U,326,11.6,4,NA,2,,2011,
26,C2,heavy,mesic mature,D000,2,1,6.15,U,327,11.6,3,NA,2,,2011,
27,C2,heavy,mesic mature,D000,2,1,8.7,U,888,12.2,2,2,,,,
