Year,Treatment,Block,Stand,Plot,Diam.,Ht.,Spec.,Class
1992,2,2,C2,1,14,13,Hw,2
1992,2,2,C2,1,14,0,Ac,2
1992,2,2,C2,1,12,0,Ac,2
1992,2,2,C2,1,27,0,At,3
1992,2,2,C2,1,12,2,At,2
1992,2,2,C2,1,23,0,Hw,3
1992,2,2,C2,1,13,0,Uk,4
1992,2,2,C2,1,10,5,At,2
1992,2,2,C2,1,14,27,At,2
1992,2,2,C2,1,10,12,Hw,2
1992,2,2,C2,1,19,0,Ac,2
1992,2,2,C2,1,10,14,Hw,3
1992,2,2,C2,1,13,10,At,2
1992,2,2,C2,1,12,7,Hw,2
1992,2,2,C2,1,18,0,At,3
1992,2,2,C2,1,24,17,Ac,2
1992,2,2,C2,2,14,20,Ba,2
1992,2,2,C2,2,37,0,Ukc,4
1992,2,2,C2,2,15,54,Hw,3
1992,2,2,C2,2,24,14,Ukc,3
1992,2,2,C2,2,25,26,Sx,2
1992,2,2,C2,2,42,0,Ukc,4
1992,2,2,C2,2,28,185,Ba,1
1992,2,2,C2,2,24,24,Sx,1
1992,2,2,C2,2,47,5,Hw,3
1992,2,2,C2,2,13,6,Ba,3
1992,2,2,C2,2,48,241,Ba,1
1992,2,2,C2,2,13,0,Cw,3
1992,2,2,C2,2,53,10,Ukc,3
1992,2,2,C2,2,14,6,Uk,3
1992,2,2,C2,2,28,0,Ba,2
1992,2,2,C2,2,12,0,Sx,1
1992,2,2,C2,2,13,3,Hw,2
1992,2,2,C2,3,13,0,Cw,2
1992,2,2,C2,3,12,4,Hw,3
1992,2,2,C2,3,29,2,Hw,1
1992,2,2,C2,3,11,24,Hw,1
1992,2,2,C2,3,27,55,Sx,1
1992,2,2,C2,3,11,15,Hw,2
1992,2,2,C2,3,11,11,Bl,3
1992,2,2,C2,3,18,120,Hw,1
1992,2,2,C2,3,22,19,Hw,1
1992,2,2,C2,3,14,0,At,2
1992,2,2,C2,3,14,0,At,2
1992,2,2,C2,3,19,30,Hw,1
1992,2,2,C2,3,13,10,Ukc,4
1992,2,2,C2,3,16,10,Ukc,3
1992,2,2,C2,3,14,0,Ep,2
1992,2,2,C2,3,18,0,Ep,2
1992,2,2,C2,3,45,0,Ukc,3
1992,2,2,C2,3,12,20,Cw,3
1992,2,2,C2,3,14,6,Ukc,3
1992,2,2,C2,3,18,50,Sx,1
1992,2,2,C2,3,19,45,Hw,2
1992,2,2,C2,3,30,0,Hw,1
1992,2,2,C2,3,20,10,Ukd,3
1992,2,2,C2,3,12,30,Hw,1
1992,2,2,C2,3,10,5,Hw,3
1992,2,2,C2,3,15,0,Cw,2
1992,2,2,C2,4,13,23,Hw,3
1992,2,2,C2,4,10,50,At,3
1992,2,2,C2,4,33,40,Ukd,3
1992,2,2,C2,4,13,45,Ukc,2
1992,2,2,C2,4,32,43,Ukc,3
1992,2,2,C2,4,22,0,Hw,2
1992,2,2,C2,4,31,0,Hw,2
1992,2,2,C2,5,13,0,Ep,2
1992,2,2,C2,5,11,40,Hw,2
1992,2,2,C2,5,11,32,Hw,2
1992,2,2,C2,5,18,11,Hw,3
1992,2,2,C2,5,19,16,Hw,2
1992,2,2,C2,5,15,12,Hw,2
1992,2,2,C2,5,11,9,Hw,1
1992,2,2,C2,5,13,0,Hw,2
1992,2,2,C2,5,12,76,Hw,1
