Unit,GM,Amabalis_Fir,Black_Cottonwood,Hybrid_spruce,Lodgepole_Pine,Paper_Birch,Subalpine_Fir,Trembling_Aspen,Western_Hemlock,Western_redcedar
A2,n/a,0,0,207,7,0,6,0,8,202
B5,n/a,0,0,158,0,0,0,0,0,174
C3,n/a,0,0,143,6,0,5,0,6,145
D5,n/a,0,0,155,6,0,5,0,5,171
B2,G,0,0,481,246,0,0,0,469,100
B2,M,0,0,227,0,0,0,0,0,234
B3,G,0,0,623,225,0,0,0,435,531
B3,M,0,0,150,0,0,0,0,0,150
C2,G,0,0,640,240,0,0,0,526,143
C2,M,0,0,257,0,0,0,0,0,269
D4,G,0,0,513,127,0,0,0,225,260
D4,M,0,0,165,0,0,0,0,0,172
A1,n/a,0,0,635,644,0,0,0,636,21
A3,n/a,0,0,543,469,0,0,0,449,95
B4,n/a,0,0,621,412,0,0,0,413,264
D2,n/a,0,0,429,371,0,0,0,374,73
