Unit,GM,Amabalis_Fir,Black_Cottonwood,Hybrid_spruce,Lodgepole_Pine,Paper_Birch,Subalpine_Fir,Trembling_Aspen,Western_Hemlock,Western_redcedar
A2,n/a,0,0,48,2,0,1,0,2,47
B5,n/a,0,0,48,0,0,0,0,0,52
C3,n/a,0,0,47,2,0,1,0,2,48
D5,n/a,0,0,46,2,0,1,0,1,50
B2,G,0,0,37,19,0,0,0,36,8
B2,M,0,0,49,0,0,0,0,0,51
B3,G,0,0,35,12,0,0,0,24,29
B3,M,0,0,50,0,0,0,0,0,50
C2,G,0,0,42,15,0,0,0,34,9
C2,M,0,0,49,0,0,0,0,0,51
D4,G,0,0,46,11,0,0,0,20,23
D4,M,0,0,49,0,0,0,0,0,51
A1,n/a,0,0,33,33,0,0,0,33,1
A3,n/a,0,0,35,30,0,0,0,29,6
B4,n/a,0,0,36,24,0,0,0,24,16
D2,n/a,0,0,34,30,0,0,0,30,6
