"Unit","Year","Block","Treatment","SppGroup","SizeClass","Volume_Ha.1","Volume_Ha.2","Volume_Ha.3","Volume_Ha.4","Volume_Ha","pro_DClass1","pro_DClass2","pro_DClass3","pro_DClass4","pro_sppXgroup"
"A1","1992",1,1,"othercon","Small",1.4393173084922,4.13152606456713,4.70725298796401,5.09655405045142,80.2796363541386,0.0179287970630923,0.0514641850934859,0.0586357039187228,0.0634850166481687,0.19151370272347
"A2","1992",1,3,"othercon","Small",2.12059416784517,6.8388133829215,3.59006860089625,3.04449880205826,94.3479349608581,0.0224763177776486,0.0724850351601093,0.0380513744406346,0.0322688440750857,0.165281571453478
"A3","1992",3,1,"othercon","Small",5.15275596440207,5.08695860172814,5.19387931607327,3.30494669597589,133.117660138082,0.0387082822749225,0.0382140025331837,0.0390172071135093,0.0248272595277569,0.140766751449372
"A4","1992",3,4,"othercon","Small",2.54005235489147,6.19728909685069,5.83540360214408,3.73948344530163,156.845834052367,0.01619457966632,0.0395119776964019,0.0372047089258091,0.0238417772961257,0.116753043584657
"B1","1992",1,4,"othercon","Small",2.16308829790542,3.0664312562829,7.71474077351818,3.18843053290748,87.1719100942327,0.0248140518610539,0.0351768276382621,0.088500306637523,0.0365763527432265,0.185067538880065
"B2","1992",3,2,"othercon","Small",5.24871045163488,6.00812167916315,4.82102759425434,1.76419178669472,115.993896502192,0.0452498847776504,0.051796877769768,0.0415627695907539,0.0152093501459483,0.153818882284121
"B3","1992",1,2,"othercon","Small",1.25837456113889,0.94583708843773,4.8059490319749,4.38374928815052,50.8449120062787,0.0247492720802329,0.0186023940472339,0.0945217297530465,0.0862180524102232,0.224091448290737
"B4","1992",2,1,"othercon","Small",0,1.02808379178014,3.1788350841842,3.00611700716513,57.6521974862522,0,0.0178325170003329,0.0551381425650292,0.0521422797089733,0.125112939274335
"B5","1992",2,3,"othercon","Small",0.954061758771971,2.19598697924238,3.53934980050177,2.67987175057357,61.6891398419756,0.0154656356242917,0.0355976268248783,0.0573739528475879,0.0434415483412217,0.15187876363798
"C1","1992",2,4,"othercon","Small",7.87375106664684,9.96007577476601,11.188293211346,3.00337545038705,101.632251320218,0.0774729572981576,0.0980011329610747,0.110086051091149,0.0295514013649483,0.31511154271533
"C2","1992",2,2,"othercon","Small",4.68394975535032,7.25690079157876,6.30558058958487,1.59010293128662,89.4830424581545,0.0523445518466888,0.0810980560363976,0.0704667657286417,0.0177698800533096,0.221679253665038
"C3","1992",3,3,"othercon","Small",2.14115584368077,4.04653780444664,7.3912370737047,1.4804406601634,84.1068496163388,0.0254575680036508,0.0481118698762977,0.0878791335951888,0.0176019036132797,0.179050475088417
"D2","1992",4,1,"othercon","Small",0.840287152481636,0.869073498651479,4.69765753924073,3.42420441582239,120.232343281104,0.00698886114626444,0.00722828379564707,0.0390714961635371,0.0284798941979911,0.0817685353034397
"D3","1992",4,4,"othercon","Small",1.1459707332376,3.40638429676487,6.9991944544392,1.90264040398778,285.485161193455,0.00401411663025472,0.011931913667683,0.0245168415240199,0.00666458598420282,0.0471274578061604
"D4","1992",4,2,"othercon","Small",0.268672564251877,1.02397145661302,4.67846664179416,3.68739386651811,163.315908048637,0.00164510957604855,0.00626988190463401,0.028646729505376,0.0225782895896459,0.0591400105757044
"D5","1992",4,3,"othercon","Small",0.137077838904019,3.84229182447965,6.16576119390277,3.13634095412395,132.932605055561,0.00103118297310675,0.0289040587361821,0.0463826101303415,0.0235934664246824,0.0999113182643128
"A1","1992",1,1,"othercon","Large",2.28645835291903,4.60855694395311,6.4262090878204,10.5824091633903,80.2796363541386,0.0284811747630838,0.0574063006915393,0.0800478101255016,0.131819346025783,0.297754631605908
"A2","1992",1,3,"othercon","Large",11.5556618196088,9.0252049134406,14.2835108137988,10.744161013297,94.3479349608581,0.122479223571802,0.095658743534608,0.151391875399547,0.113878072877317,0.483407915383274
"A3","1992",3,1,"othercon","Large",13.1896296593447,5.85459449959064,25.1277386494957,13.3582354011966,133.117660138082,0.0990824932293973,0.0439805995201367,0.188763373871137,0.100349085067603,0.432175551688274
"A4","1992",3,4,"othercon","Large",3.30494669597589,15.7543560252389,32.3969764465758,23.4828045826475,156.845834052367,0.0210713068405275,0.100444848410694,0.206552992894661,0.149719020109945,0.477788168255827
"B1","1992",1,4,"othercon","Large",6.60989339195179,2.27275056902863,7.06773337389121,13.8873558593661,87.1719100942327,0.0758259556869467,0.0260720519554039,0.081078106080858,0.159309986948249,0.342286100671457
"B2","1992",3,2,"othercon","Large",3.40638429676487,10.470005335489,26.9974803721465,28.7136949152248,115.993896502192,0.0293669270494806,0.0902634160176792,0.232749146172845,0.247544877627956,0.599924366867961
"B3","1992",1,2,"othercon","Large",5.70517965518526,3.95743720915902,0.789568352087149,5.44061942610051,50.8449120062787,0.112207484093605,0.0778334950932816,0.0155289550307344,0.107004205758654,0.312574139976275
"B4","1992",2,1,"othercon","Large",1.67920352657423,3.18705975451844,9.44877543565402,11.152652973231,57.6521974862522,0.029126444433877,0.0552808027010319,0.163892719577726,0.193447144419611,0.441747111132246
"B5","1992",2,3,"othercon","Large",4.36867072587108,0,5.69147187129486,4.99237489288437,61.6891398419756,0.0708175010554852,0,0.0922605159656023,0.0809279381374575,0.244005955158545
