BLOCK,TYPE,STRIP,PLOT,PLOT_TYPE,AGE_IN_TENS,PlotHt,SLOPE_PERCENT,HARVEST_METHOD,CRUISE_DATE,MAIN_BAF,MAIN_PRISM_SWEEP,MAIN_DBH_LIMIT,TreeNumber,CRUISED_HEIGHT,SPECIES,DBH,TREE_CLASS,CONK,BLIND_CONK,SCAR,FORK_CROOK,FROST_CRACK,MISTLETOE,ROTTEN_BRANCH,D_OR_B_TOP,INSECT,FIRE,BLOWDOWN,CROWN_CLASS,SnagCode,TotalAge,CountedAge,CorrectionYrs
0A1,1,00,01,M,14,30,35,SC,9203,7,F,7.5,1,29,HW,33.8,1,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,01,M,14,30,35,SC,9203,7,F,7.5,2,30.9,SX,37.4,1,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,01,M,14,30,35,SC,9203,7,F,7.5,3,31.2,HW,33.7,1,0,0,0,0,0,0,0,0,,,,2,0,135,115,0
0A1,1,00,01,M,14,30,35,SC,9203,7,F,7.5,4,28,HW,24,2,0,0,0,1,1,0,0,0,,,,2,0,,,
0A1,1,00,01,M,14,30,35,SC,9203,7,F,7.5,5,28,HW,26.4,2,0,0,0,1,1,0,0,0,,,,2,0,,,
0A1,1,00,01,M,14,30,35,SC,9203,7,F,7.5,6,32,HW,37.1,2,4,1,0,0,1,0,0,0,,,,2,0,,,
0A1,1,00,01,M,14,30,35,SC,9203,7,F,7.5,8,30.2,SX,35.7,1,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,01,M,14,30,35,SC,9203,7,F,7.5,9,33,HW,41.5,2,0,0,0,0,1,0,0,0,,,,1,0,,,
0A1,1,00,01,M,14,30,35,SC,9203,7,F,7.5,10,28,PL,30.6,3,0,0,5,0,0,0,0,0,3,,,2,0,,,
0A1,1,00,01,M,14,30,35,SC,9203,7,F,7.5,11,16,HW,17.5,4,0,0,0,0,0,0,0,0,,,,,4,,,
0A1,1,00,02,C,14,30,35,SC,9203,7,F,7.5,1,0,PL,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,02,C,14,30,35,SC,9203,7,F,7.5,2,0,PL,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,02,C,14,30,35,SC,9203,7,F,7.5,3,0,CW,0,0,0,0,0,0,0,0,0,0,,,,3,0,,,
0A1,1,00,02,C,14,30,35,SC,9203,7,F,7.5,4,0,HW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,02,C,14,30,35,SC,9203,7,F,7.5,5,0,CW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,02,C,14,30,35,SC,9203,7,F,7.5,6,0,SX,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,
0A1,1,00,03,C,14,30,21,SC,9203,7,F,7.5,1,0,HW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,03,C,14,30,21,SC,9203,7,F,7.5,2,0,HW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,03,C,14,30,21,SC,9203,7,F,7.5,3,0,HW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,03,C,14,30,21,SC,9203,7,F,7.5,4,0,HW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,03,C,14,30,21,SC,9203,7,F,7.5,5,0,HW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,03,C,14,30,21,SC,9203,7,F,7.5,6,0,CW,0,0,0,0,0,0,0,0,0,0,,,,3,0,,,
0A1,1,00,03,C,14,30,21,SC,9203,7,F,7.5,7,0,HW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,03,C,14,30,21,SC,9203,7,F,7.5,8,0,CW,0,0,0,0,0,0,0,0,0,0,,,,4,0,,,
0A1,1,00,04,M,14,27,20,SC,9203,7,F,7.5,1,22.5,HW,30.9,1,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,04,M,14,27,20,SC,9203,7,F,7.5,2,30.2,PL,28.1,2,0,0,4,0,2,0,0,0,,,,1,0,,,
0A1,1,00,04,M,14,27,20,SC,9203,7,F,7.5,3,34.3,PL,36.1,2,0,0,2,0,0,0,0,0,,,,1,0,,,
0A1,1,00,04,M,14,27,20,SC,9203,7,F,7.5,4,30.9,HW,37.9,2,1,0,0,0,1,0,0,0,,,,1,0,,,
0A1,1,00,05,C,14,27,22,SC,9203,7,F,7.5,1,0,CW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,05,C,14,27,22,SC,9203,7,F,7.5,2,0,AC,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,
0A1,1,00,05,C,14,27,22,SC,9203,7,F,7.5,3,0,HW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,05,C,14,27,22,SC,9203,7,F,7.5,4,0,CW,0,0,0,0,0,0,0,0,0,0,,,,3,0,,,
0A1,1,00,05,C,14,27,22,SC,9203,7,F,7.5,5,0,CW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,05,C,14,27,22,SC,9203,7,F,7.5,6,0,HW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,05,C,14,27,22,SC,9203,7,F,7.5,7,0,BA,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,05,C,14,27,22,SC,9203,7,F,7.5,8,0,AC,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,05,C,14,27,22,SC,9203,7,F,7.5,9,0,CW,0,0,0,0,0,0,0,0,0,0,,,,4,0,,,
0A1,1,00,06,C,14,27,14,SC,9203,7,F,7.5,1,0,CW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,06,C,14,27,14,SC,9203,7,F,7.5,2,0,CW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,06,C,14,27,14,SC,9203,7,F,7.5,3,0,HW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,06,C,14,27,14,SC,9203,7,F,7.5,4,0,EP,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,06,C,14,27,14,SC,9203,7,F,7.5,5,0,HW,0,0,0,0,0,0,0,0,0,0,,,,4,0,,,
0A1,1,00,06,C,14,27,14,SC,9203,7,F,7.5,7,0,BL,0,0,0,0,0,0,0,0,0,0,,,,,0,,,
0A1,1,00,06,C,14,27,14,SC,9203,7,F,7.5,8,0,HW,33.9,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,07,M,20,27,22,SC,9203,7,F,7.5,1,24.5,HW,37.8,1,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,07,M,20,27,22,SC,9203,7,F,7.5,2,24.5,HW,23.1,2,0,0,0,0,1,0,0,0,,,,3,0,,,
0A1,1,00,07,M,20,27,22,SC,9203,7,F,7.5,3,30,HW,57.4,2,4,0,0,1,1,0,0,0,,,,1,0,,,
0A1,1,00,07,M,20,27,22,SC,9203,7,F,7.5,4,20.4,CW,29.5,2,0,0,0,1,0,0,0,0,,,,3,0,,,
0A1,1,00,07,M,20,27,22,SC,9203,7,F,7.5,5,24.6,HW,36.4,2,0,0,0,0,1,0,0,0,,,,2,0,151,131,0
0A1,1,00,07,M,20,27,22,SC,9203,7,F,7.5,6,10,EP,21.1,4,0,0,0,0,0,0,0,0,,,,,4,,,
0A1,1,00,07,M,20,27,22,SC,9203,7,F,7.5,7,24.4,EP,21.9,2,0,0,0,1,0,0,0,0,,,,2,0,,,
0A1,1,00,07,M,20,27,22,SC,9203,7,F,7.5,8,28,HW,40.9,2,1,0,0,0,1,0,0,0,,,,1,0,,,
0A1,1,00,07,M,20,27,22,SC,9203,7,F,7.5,10,31.3,AC,51.1,2,0,0,0,0,1,0,2,0,,,,1,0,,,
0A1,1,00,08,C,20,27,20,SC,9203,7,F,7.5,1,0,HW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,08,C,20,27,20,SC,9203,7,F,7.5,2,0,EP,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,08,C,20,27,20,SC,9203,7,F,7.5,3,0,B,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,08,C,20,27,20,SC,9203,7,F,7.5,4,0,EP,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,08,C,20,27,20,SC,9203,7,F,7.5,5,0,HW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,08,C,20,27,20,SC,9203,7,F,7.5,6,0,EP,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,08,C,20,27,20,SC,9203,7,F,7.5,7,0,AT,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,08,C,20,27,20,SC,9203,7,F,7.5,8,0,CW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,08,C,20,27,20,SC,9203,7,F,7.5,9,0,AC,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,
0A1,1,00,08,C,20,27,20,SC,9203,7,F,7.5,10,0,AC,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,09,C,20,27,21,SC,9203,7,F,7.5,1,0,CW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,09,C,20,27,21,SC,9203,7,F,7.5,2,0,AT,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,09,C,20,27,21,SC,9203,7,F,7.5,3,0,HW,0,0,0,0,0,0,0,0,0,0,,,,4,0,,,
0A1,1,00,09,C,20,27,21,SC,9203,7,F,7.5,4,0,AT,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,09,C,20,27,21,SC,9203,7,F,7.5,5,0,HW,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,
0A1,1,00,09,C,20,27,21,SC,9203,7,F,7.5,6,0,HW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,09,C,20,27,21,SC,9203,7,F,7.5,7,0,PL,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,09,C,20,27,21,SC,9203,7,F,7.5,8,0,HW,0,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,09,C,20,27,21,SC,9203,7,F,7.5,9,0,HW,31.9,0,0,0,0,0,0,0,0,0,,,,2,0,,,
0A1,1,00,09,C,20,27,21,SC,9203,7,F,7.5,10,0,HW,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,
0A1,1,00,10,M,12,24,12,SC,9203,7,F,7.5,1,19.6,HW,26.1,2,0,0,0,0,1,0,0,0,,,,2,0,,,
0A1,1,00,10,M,12,24,12,SC,9203,7,F,7.5,2,30.1,AC,44.1,2,0,2,1,0,4,0,0,0,,,,1,0,,,
0A1,1,00,10,M,12,24,12,SC,9203,7,F,7.5,3,37,BA,54.9,4,0,0,0,0,0,0,0,0,,,,,4,,,
