Unit,Gd Pt,radius,Spp,DBH,DBH 22,Class,CLASS 22,Comments,COMMENTS 22
A1,A000,1.78,Cw,5.9,7.0,,1,,now in large trees
A1,A050,1.26,Sx,,9.2, ,2,,
A1,B150,2.52,Hw, ,8.7,,1,,
A1,C250,2.52,Hw,4.8,9.7,,1,,
A1,C250,2.52,Hw,,5.6,,1,,
A1,C250,2.52,Hw,,4.0,,1,,
A1,C250,2.52,Cw,,5.6,,1,,
A1,C150,1.78,Hw, ,4.7,,1,,
A1,C050,1.78,Hw,9.1,9.3,,1,,
A1,D000,1.78,Hw,4.5,5.9,,2,,
A1,D100,2.52,Hw,,4.7,,1,,
A1,D200,1.26,Cw,4.4,5.5,,1,,
A1,D200,1.26,Cw,4.6,5.4,,1,,
A1,E000,0.8,Sx,6.6,7.2,,1,,
A1,E000,0.8,Hw,,6.4,,1,,
A1,E000,0.8,Hw,,4.6,,1,,
A1,E150,1.26,Ep,4.9,6.0,,1,,
A1,E150,1.26,Ep,5.5,6.5,,1,,
A1,E150,1.26,Ep,,4.2,,1,,
A1,E150,1.26,Ep,,5.8,,1,,
A1,E150,1.26,Ep,,4.6,,1,,
A1,E150,1.26,Ep,,5.3,,1,,
A1,E150,1.26,Ep,,4.6,,1,,
A1,F150,1.78,Ac,6.3,8.1,,1,,
A1,F150,1.78,Ac,,5.1,,1,,
A1,F150,1.78,Ac,,6.9,,1,,
A1,F150,1.78,Ac,,4.9,,1,,
A1,F150,1.78,Sx,,9.8,,2,,dfl?
A1,F150,1.78,Ep,,6.5,,1,,
A1,F150,1.78,Ac,,6.7,,1,,
A1,F150,1.78,Hw,,8.4,,1,,
A1,F150,1.78,Hw,,7.0,,1,,
A1,F150,1.78,Sx,,8.9,,1,,
A1,F150,1.78,Ac,,7.0,,1,,
A1,F150,1.78,Sx,,7.5,,2,dfl,
A1,F150,1.78,Ac,,4.2,,1,,
A1,F150,1.78,Ac,,6.9,,1,,
A1,F150,1.78,Ac,,6.9,,1,,
A1,F300,1.78,Bl,6.9,7.8,,1,,SPP Hw
A1,G50,3.99,Hw,,5.4,,1,,
A1,G50,3.99,Sx,,4.8,,1,,
A1,G50,3.99,Sx,,4.5,,1,,
A1,G50,3.99,Sx,,4.7,,1,,
A1,G50,3.99,Sx,,4.5,,1,,
A1,G50,3.99,Ac,,5.5,,1,,
A1,G50,3.99,Ac,,7.4,,1,,
A1,G150,2.52,Sx,5,7.3,,1,,
A1,G150,2.52,Sx,9.6,,,,,tree 580
A1,G150,2.52,Sx,,6.6,,1,,
A1,G150,2.52,Cw,,4.1,,1,,
