Unit,Gd Pt,Plot Size,Plot,Size Cl,Hw,Cw,Sx,Pl,Bl,Ba,Ep,At,Ac,dead Hw,deadCw,deadSx,deadPl,deadBl,deadBa,deadEp,deadAt,deadAc,
A1,A000,1.78,I,0-4 cm,,2,,,,,,,,,,,,,,,,,
A1,A000,1.78,S,0-1.3 m,,,,,,,,,,,,,,,,,,,
A1,B150,2.52,I,0-4 cm,3,1,1,,,,,,,,,,,,,,,,
A1,B150,2.52,S,0-1.3 m,2,,,,,,,,,,,,,,,,,,
A1,B050,1.26,I,0-4 cm,,,,,,,,,,,,,,,,,,,
A1,B050,1.26,S,0-1.3 m,1,2,,,,,,,,,,,,,,,,,
A1,C150,1.78,I,0-4 cm,4,1,,,,,,,,,,,,,,,,,
A1,C150,1.78,S,0-1.3 m,3,2,,,,,,,,,,,,,,,,,
A1,C250,2.52,I,0-4 cm,1,,,,,,,,,,,,,,,,,,
A1,C250,2.52,S,0-1.3 m,3,3,,,,,,,,,,,,,,,,,
A1,C050,1.78,I,0-4 cm,,2,1,,,1,,,,,,,,,,,,,
A1,C050,1.78,S,0-1.3 m,2,,1,,,,,,,,,,,,,,,,
A1,D000,1.78,I,0-4 cm,1,,4,,,,,,,,,,1,,,,,,
A1,D000,1.78,S,0-1.3 m,4,,,,,,,,,,,,,,,,,,
A1,D100,2.52,I,0-4 cm,4,4,2,,,,,,,,,,,,,,,,
A1,D100,2.52,S,0-1.3 m,4,16,4,,,,,,,,,,,,,,,,
A1,D200,1.26,I,0-4 cm,2,5,,1,,,,,,,,,,,,,,,
A1,D200,1.26,S,0-1.3 m,3,2,,,,,,,,,,,,,,,,,
A1,E000,0.8,I,0-4 cm,2,1,,,,,,,,,,,,,,,,,
A1,E000,0.8,S,0-1.3 m,,1,1,,,,,,,,,,,,,,,,
A1,E150,1.26,I,0-4 cm,0,,,,,,,,,,,,,,,,,,
A1,E150,1.26,S,0-1.3 m,0,,,,,,,,,,,,,,,,,,
A1,E250,2.52,I,0-4 cm,,,,,,,,,,,,,,,,,,,
A1,E250,2.52,S,0-1.3 m,1,1,,,1,,,,,,,,,,,,,,
A1,F150,1.78,I,0-4 cm,0,,,,,,,,,,,,,,,,,,
A1,F150,1.78,S,0-1.3 m,0,1,,,,,,,,,,,,,,,,,
A1,F300,1.78,I,0-4 cm,1,,,,,,,,,,,,,,,,,,
A1,F300,1.78,S,0-1.3 m,1,1,,,,,,,,,,,,,,,,,
A1,F050,2.52,I,0-4 cm,1,1,,,,,,,,,,,,,,,,,
A1,F050,2.52,S,0-1.3 m,3,5,,,,,,,,,,,,,,,,,
A1,G150,2.52,I,0-4 cm,1,,,,,,,,1,,,,,,,,,,
A1,G150,2.52,S,0-1.3 m,1,2,,,,,,,,,,,,,,,,,
A1,G250,0.8,I,0-4 cm,4,,,,,,,,,,,,,,,,,,
A1,G250,0.8,S,0-1.3 m,1,3,,,,,,,,,,,,,,,,,
A1,G050,3.99,I,0-4 cm,5,6,6,1,,,,,4,,,,,,,,,,
A1,G050,3.99,S,0-1.3 m,3,3,1,,,,,,,,,,,,,,,,
A1,H100,2.52,I,0-4 cm,1,1,,,,,,,,,,,,,,,,,
A1,H100,2.52,S,0-1.3 m,2,2,1,,,,,,,,,,,,,,,,
A1,H200,2.52,I,0-4 cm,,,,,,,2,,,,,,,,,,,,
A1,H200,2.52,S,0-1.3 m,1,,,,,,,,,,,,,,,,,,
A2,A050,1.26,I,0-4 cm,3,,1,,,,,,,,,,,,,,,,
A2,A050,1.26,S,0-1.3 m,12,,,,,,,,,2,,1,,,,,,,
A2,B050,3.99,I,0-4 cm,4,7,,,,,,,,,1,,,,,,,,
A2,B050,3.99,S,0-1.3 m,10,7,,,,,,,,,,,,,,,,,
A2,B150,3.99,I,0-4 cm,1,,,,,,,,,,,,,,,,,,
A2,B150,3.99,S,0-1.3 m,22,7,,,,,,,,,,,,,,,,,
A2,C000,2.52,I,0-4 cm,4,,,,,,,,,,,,,,,,,,
A2,C000,2.52,S,0-1.3 m,48,4,1,,,,,,,,1,1,,,,,,,
A2,C100,2.52,I,0-4 cm,2,5,,,,,,,,,,,,,,,,,
A2,C100,2.52,S,0-1.3 m,14,10,,,,,,,,,,,,,,,,,
A2,D050,3.99,I,0-4 cm,1,2,,,,,,,,9,1,,,,,,,,
A2,D050,3.99,S,0-1.3 m,6,,,,,,,,,2,1,,,,,,,,
A2,D200,3.99,I,0-4 cm,20,,1,,,,,,,,,1,,,,,,,
A2,D200,3.99,S,0-1.3 m,70,1,1,,,,,,,,,,,,,,,,
A2,E050,5.64,I,0-4 cm,6,3,1,,,,1,,,,1,,,,,,,,
A2,E050,5.64,S,0-1.3 m,28,9,1,,,,,,,,,,,,,,,,
A2,E200,3.99,I,0-4 cm,2,,,,,,,,,,,,,,,,,,
A2,E200,3.99,S,0-1.3 m,39,,,,,,,,,,,,,,,,,,
A2,F000,3.99,I,0-4 cm,,,,,,,,,,,,,,,,,,,
A2,F000,3.99,S,0-1.3 m,20,1,2,,,,,,,,,,,,,,,,
A2,F100,5.64,I,0-4 cm,,,,,,,,,,,,,,,,,,,
A2,F100,5.64,S,0-1.3 m,23,1,,,,,,,,2,2,,,,,,,,
A2,F250,1.78,I,0-4 cm,4,,,,,,,,,,,,,,,,,,
A2,F250,1.78,S,0-1.3 m,16,,1,,,,,,,,,,,,,,,,
A2,G000,1.26,I,0-4cm,12,,,,,,,,,,,,,,,,,,
A2,G000,1.26,S,0-1.3 m,17,,,,,,,,,,,,,,,,,,
A2,G100,3.99,I,0-4cm,,,,,,,,,,,,,,,,,,,
A2,G100,3.99,S,0-1.3 m,15,,,,,,,,,,,,,,,,,,
A2,G250,2.52,I,0-4 cm,27,,,,,,,,,,,,,,,,,,
A2,G250,2.52,S,0-1.3 m,21,,,,,,,,,,,,,,,,,,
A2,H050,1.26,I,0-4 cm,16,,,,,,,,,,,,,,,,,,
A2,H050,1.26,S,0-1.3 m,10,,,,,,,,,5,,,,,,,,,
A2,H150,3.99,I,0-4 cm,0,,,,,,,,,,,,,,,,,,
A2,H150,3.99,S,0-1.3 m,0,,,,,,,,,,,,,,,,,,
A2,H250,2.52,I,0-4 cm,,,1,,,,,,,,,,,,,,,,
A2,H250,2.52,S,0-1.3 m,76,,1,,,,,,,,,,,,,,,,
A2,H350,3.99,I,0-4 cm,6,2,,,,,,,,,,,,,,,,,
A2,H350,3.99,S,0-1.3 m,77,7,,,,,,,,,1,,,,,,,,
A2,I050,3.99,I,0-4 cm,,,,,,,,,,,,,,,,,,,
A2,I050,3.99,S,0-1.3 m,28,9,,,,,,,,1,,,,,,,,,
A2,I150,3.99,I,0-4 cm,,1,,,,,,,,,,,,,,,,,
A2,I150,3.99,S,0-1.3 m,,,,,,,,,,,,,,,,,,,
A2,I250,2.52,I,0-4 cm,10,1,1,,,,,,,,,,,,,,,,
A2,I250,2.52,S,0-1.3 m,29,1,,,,,,,,,,,,,,,,,
