,Unit,Spp,Init.Dens.1.3Ht,Init.Dens.2.5,Init.Dens.5,Init.Dens.0-7.5
17,A1,Hw,300,28.6,0,14.28571429
18,A2,Hw,920,60,240,280
19,A3,Hw,11107.41335,178.6,35.7,71.4
20,A4,Hw,3852.6,189.5,63.2,221.0526316
21,B1,Hw,600,28.6,57.1,57.1
22,B2,Hw,10519.92,0,111.96,446.04
23,B3,Hw,1714.3,114.3,28.6,0
24,B4,Hw,1727.3,109.1,36.4,90.90909091
25,B5,Hw,620,0,20,0
26,C1,Hw,230.7692308,76.9,46.2,153.8
27,C2,Hw,1233,100,133,0
28,C3,Hw,1307.692308,15.4,46.2,76.9
29,D2,Hw,16500.24424,966.6666667,1100,700
30,D3,Hw,6600,444.4444444,533.3333333,288.8888889
31,D4,Hw,15325,1425,800,400
32,D5,Hw,11007.27,377.8,155.6,67.2
33,A1,Sx,0,0,0,0
34,A2,Sx,0,0,0,0
35,A3,Sx,142.8611731,0,0,0
36,A4,Sx,53,0,0,0
37,B1,Sx,14.3,0,0,0
38,B2,Sx,146.11,0,0,0
39,B3,Sx,0,0,0,0
40,B4,Sx,0,0,0,0
41,B5,Sx,0,0,0,0
42,C1,Sx,15.38461538,0,0,0
43,C2,Sx,67,0,0,0
44,C3,Sx,15.38461538,0,0,0
45,D2,Sx,0,0,0,0
46,D3,Sx,0,0,0,0
47,D4,Sx,125,50,0,0
48,D5,Sx,0,0,0,0
49,A1,Pl,0,0,0,0
50,A2,Pl,0,0,0,0
51,A3,Pl,0,0,0,0
52,A4,Pl,0,0,0,0
53,B1,Pl,0,0,0,0
54,B2,Pl,0,0,0,0
55,B3,Pl,0,28.6,0,0
56,B4,Pl,0,0,0,0
57,B5,Pl,0,0,0,0
58,C1,Pl,0,0,0,0
59,C2,Pl,0,0,0,0
60,C3,Pl,0,0,0,0
61,D2,Pl,0,0,0,0
62,D3,Pl,0,0,0,0
63,D4,Pl,0,0,0,0
64,D5,Pl,0,0,0,0
65,A1,Cw,1100,271.4,114.3,114.2857143
66,A2,Cw,420,60,20,120
67,A3,Cw,2857.180603,392.9,428.6,464.3
68,A4,Cw,726.3157895,94.7,115.7894737,221.0526316
69,B1,Cw,1528.6,385.7,428.5714286,371.4
70,B2,Cw,3652.75,556,510.04,287.28
71,B3,Cw,4257,1228.6,685.7,342.9
72,B4,Cw,1345.5,472.7272727,345.5,181.8181818
73,B5,Cw,1880,500,860,360
74,C1,Cw,92.30769231,15.4,30.76923077,61.53846154
75,C2,Cw,200,66.66666667,133.3333333,66.66666667
76,C3,Cw,200,61.53846154,76.92307692,61.53846154
77,D2,Cw,233.3367873,33.33333333,0,33.33333333
78,D3,Cw,88.88888889,0,66.66666667,0
79,D4,Cw,350,75,0,0
80,D5,Cw,8.876160158,0,22.2,0
81,A1,Ep,0,0,0,0
82,A2,Ep,0,0,0,0
83,A3,Ep,0,0,0,0
