Plot_ID,PlotNum,PrismBands,FixedRad,SPP,DBH,HT,TC,CC,DT,OD
B2,1,5,.,AC,99.0,.,2,1,S,A
B2,1,5,.,HW,61.9,.,2,1,S,A
B2,1,5,.,HW,62.2,.,2,1,F,O
B2,1,5,.,HW,22.8,13.9,2,3,B,B
B2,1,5,.,HW,46.5,29.8,2,1,F,A
B2,1,5,.,HW,52.4,.,2,1,S,A
B2,1,5,.,SX,47.2,.,1,1,N,A
B2,1,.,5.64,.,.,.,.,.,N,A
B2,2,5,.,HW,52.8,.,2,2,N,D
B2,2,5,.,HW,27.6,24.2,2,1,S,A
B2,2,5,.,HW,44.5,27.5,1,1,N,A
B2,2,.,5.64,HW,11.3,8.6,3,3,N,A
B2,2,.,5.64,HW,3.7,3.7,2,4,N,A
B2,3,5,.,HW,34.6,27.0,2,1,S,A
B2,3,5,.,HW,28.1,27.7,2,1,S,A
B2,3,.,5.64,.,.,.,.,.,N,A
B2,4,5,.,HW,40.2,.,2,1,S,A
B2,4,5,.,HW,24.2,24.4,1,2,N,A
B2,4,5,.,HW,23.0,22.6,1,2,N,A
B2,4,5,.,HW,78.0,.,1,1,N,A
B2,4,.,5.64,HW,7.7,6.9,1,4,N,A
B2,4,.,5.64,HW,5.5,4.7,2,4,N,A
B2,4,.,5.64,HW,5.3,.,2,4,N,A
B2,5,5,.,HW,37.2,.,1,1,N,A
B2,5,5,.,HW,49.4,.,1,1,N,A
B2,5,5,.,HW,22.9,21.8,2,2,N,A
B2,5,5,.,CW,28.7,.,1,1,N,A
B2,5,5,.,CW,22.6,.,1,2,N,A
B2,5,5,.,HW,28.7,.,2,1,N,A
B2,5,5,.,HW,36.3,.,1,1,N,A
B2,5,5,.,HW,29.6,.,1,1,F,A
B2,5,5,.,CW,24.3,.,1,2,N,A
B2,5,5,.,HW,36.4,.,1,1,N,A
B2,5,5,.,EP,23.6,28.9,1,1,N,A
B2,5,5,.,CW,27.4,.,2,2,N,A
B2,5,.,5.64,HW,10.9,.,3,4,N,A
B2,5,.,5.64,HW,13.0,.,2,4,N,A
B2,5,.,5.64,HW,10.0,8.6,3,4,N,A
B2,5,.,5.64,HW,12.1,.,3,3,N,A
B2,5,.,5.64,HW,17.1,.,2,3,N,A
B2,5,.,5.64,HW,11.3,.,4,3,N,A
B2,5,.,5.64,HW,17.4,20.2,2,2,N,A
B2,5,.,5.64,CW,11.1,.,1,3,N,A
B2,5,.,5.64,HW,12.6,.,2,3,N,A
B2,5,.,5.64,CW,7.6,.,2,4,N,A
B2,5,.,5.64,HW,17.4,.,1,3,N,A
B2,5,.,5.64,CW,16.9,.,1,2,N,A
B2,5,.,5.64,HW,10.5,.,1,4,N,A
B2,5,.,5.64,HW,9.8,.,1,3,N,A
B2,6,5,.,HW,34.6,.,1,1,N,A
B2,6,5,.,HW,20.9,21.0,1,2,N,A
B2,6,5,.,HW,18.7,.,2,2,B,A
B2,6,5,.,HW,34.4,.,1,1,N,A
B2,6,5,.,HW,40.0,24.7,2,1,S,B
B2,6,5,.,HW,54.2,.,2,1,N,A
B2,6,5,.,HW,34.6,.,2,1,N,A
B2,6,5,.,HW,32.1,.,2,1,S,A
B2,6,5,.,HW,33.6,.,2,1,N,A
B2,6,5,.,HW,43.2,.,2,1,S,A
B2,6,.,5.64,CW,16.9,.,2,3,S,A
B2,6,.,5.64,HW,13.8,14.7,2,3,N,A
B2,6,.,5.64,HW,7.4,.,2,4,N,A
B2,6,.,5.64,HW,11.3,.,2,3,N,A
B2,7,5,.,EP,20.7,23.3,2,1,S,A
B2,7,.,5.64,.,.,.,.,.,N,A
B2,8,5,.,HW,19.5,.,2,2,N,A
B2,8,5,.,HW,21.1,20.7,1,2,N,A
B2,8,5,.,HW,27.0,20.3,1,2,N,A
B2,8,5,.,HW,23.8,.,1,2,N,A
B2,8,.,5.64,HW,15.2,.,2,2,N,A
B2,8,.,5.64,HW,5.2,.,2,3,N,A
B2,8,.,5.64,HW,12.6,.,2,3,N,A
B2,8,.,5.64,HW,11.5,.,2,3,N,A
B2,8,.,5.64,HW,7.8,.,2,3,N,A
B2,8,.,5.64,HW,13.3,.,2,3,N,A
B2,8,.,5.64,HW,9.1,.,2,3,N,A
B2,8,.,5.64,HW,11.2,.,2,3,N,A
B2,8,.,5.64,HW,11.0,.,2,3,N,A
B2,8,.,5.64,CW,1.9,1.9,1,4,N,A
B2,8,.,5.64,HW,6.1,5.4,2,3,N,A
B2,8,.,5.64,HW,12.7,.,5,.,N,A
B2,8,.,5.64,CW,1.9,.,2,4,N,A
B2,8,.,5.64,HW,13.4,.,1,3,N,A
B2,8,.,5.64,HW,8.8,.,2,3,N,A
B2,8,.,5.64,HW,17.3,.,2,2,N,A
B2,8,.,5.64,HW,8.9,.,2,3,N,A
B2,8,.,5.64,HW,13.2,.,2,2,N,A
B2,8,.,5.64,HW,9.4,.,2,3,N,A
B2,8,.,5.64,HW,11.1,.,2,3,N,A
B2,8,.,5.64,HW,6.9,.,2,3,N,A
B2,8,.,5.64,HW,12.6,.,2,3,N,A
B2,8,.,5.64,HW,10.3,.,2,3,N,A
B2,8,.,5.64,HW,11.5,.,2,3,S,A
B2,8,.,5.64,HW,9.1,.,2,3,N,A
B2,8,.,5.64,HW,9.7,.,2,3,N,A
B2,8,.,5.64,HW,12.6,.,5,.,N,A
B2,8,.,5.64,HW,13.2,.,2,3,N,A
B2,8,.,5.64,HW,10.5,.,2,3,N,A
B2,8,.,5.64,HW,15.5,.,2,3,B,A
B2,8,.,5.64,HW,7.2,.,2,3,N,A
B2,8,.,5.64,HW,15.1,.,1,3,N,A
B2,8,.,5.64,HW,8.6,.,2,3,S,A
B2,8,.,5.64,HW,3.3,.,2,4,S,A
B2,8,.,5.64,HW,8.2,.,2,3,N,A
B2,8,.,5.64,HW,15.4,.,1,2,N,A
B2,8,.,5.64,HW,4.2,.,2,4,N,A
B2,8,.,5.64,HW,12.0,.,2,3,N,A
B2,8,.,5.64,HW,9.4,.,2,3,N,A
B2,8,.,5.64,CW,2.5,.,2,4,N,A
B2,8,.,5.64,HW,16.6,.,2,2,N,A
B2,9,5,.,PL,32.8,24.6,1,1,S,A
B2,9,.,5.64,HW,14.4,.,2,3,B,A
B2,9,.,5.64,HW,11.2,9.6,2,3,S,A
B2,9,.,5.64,HW,15.6,.,2,2,N,A
B2,9,.,5.64,HW,13.4,.,2,2,N,A
B2,9,.,5.64,HW,11.1,.,8,.,N,A
B2,9,.,5.64,HW,11.9,11.2,4,.,N,A
B2,10,5,.,EP,25.6,22.4,2,2,N,A
B2,10,5,.,HW,21.7,22.5,2,2,S,A
B2,10,5,.,HW,23.0,.,2,2,S,A
B2,10,5,.,HW,31.1,.,2,1,S,A
B2,10,5,.,HW,22.7,.,1,2,S,A
B2,10,.,5.64,HW,11.5,.,2,3,S,A
B2,10,.,5.64,AT,16.4,.,2,2,S,A
B2,10,.,5.64,HW,14.5,15.3,2,3,S,A
B2,10,.,5.64,HW,4.9,.,2,4,S,A
B2,10,.,5.64,HW,10.9,.,4,.,S,A
B2,10,.,5.64,HW,12.8,.,2,3,N,A
B2,10,.,5.64,HW,9.3,10.7,2,3,S,A
B2,10,.,5.64,EP,11.9,.,2,3,S,A
B2,11,5,.,HW,23.1,17.5,2,2,N,A
B2,11,5,.,EP,19.6,.,2,3,N,A
B2,11,5,.,EP,29.5,22.6,2,1,N,A
B2,11,5,.,PL,20.5,.,1,1,N,A
B2,11,5,.,HW,20.9,.,2,2,N,A
B2,11,5,.,HW,23.0,.,2,2,S,A
B2,11,.,5.64,HW,10.1,.,3,3,N,A
B2,11,.,5.64,CW,5.1,4.3,1,3,N,A
B2,11,.,5.64,HW,16.2,.,1,3,N,A
B2,11,.,5.64,HW,5.0,3.7,2,4,N,A
B2,11,.,5.64,CW,6.2,.,1,3,N,A
B2,11,.,5.64,HW,13.5,.,2,3,S,A
B2,12,5,.,AC,55.4,.,2,1,N,A
B2,12,5,.,HW,52.0,33.2,1,1,S,A
B2,12,5,.,HW,31.5,.,2,2,S,A
B2,12,5,.,AC,122.1,.,2,1,N,A
B2,12,5,.,CW,39.8,.,1,1,S,A
B2,12,5,.,SX,62.5,41.4,1,1,N,A
B2,12,.,5.64,.,.,.,.,.,N,A
B2,13,5,.,HW,52.0,33.2,1,1,S,A
B2,13,5,.,HW,37.6,.,2,2,N,A
B2,13,5,.,SX,49.2,.,2,1,S,A
B2,13,5,.,CW,29.2,.,2,2,N,A
B2,13,5,.,HW,27.7,24.9,1,2,N,A
B2,13,5,.,AC,122.1,.,2,1,N,A
B2,13,5,.,CW,96.0,.,2,1,N,A
B2,13,5,.,HW,30.4,.,1,2,N,A
B2,13,5,.,HW,48.8,.,1,2,S,A
B2,13,5,.,EP,71.1,.,2,2,N,A
B2,13,.,5.64,CW,1.5,.,1,4,S,A
B2,13,.,5.64,CW,2.7,.,1,4,S,A
B2,13,.,5.64,HW,14.0,.,2,3,N,A
B2,13,.,5.64,HW,14.4,8.7,2,3,N,A
B2,13,.,5.64,CW,5.0,3.5,1,4,N,A
B2,13,.,5.64,CW,6.0,.,2,3,F,A
B2,14,5,.,CW,33.2,26.9,1,2,N,A
B2,14,5,.,SX,51.5,.,1,1,N,A
B2,14,5,.,CW,28.0,26.8,1,2,N,A
B2,14,.,5.64,CW,1.4,2.1,2,4,N,A
B2,15,5,.,.,.,.,.,.,N,A
B2,15,.,5.64,.,.,.,.,.,N,A
B2,16,5,.,HW,55.9,.,2,1,N,A
B2,16,5,.,AC,91.5,38.9,2,1,N,A
B2,16,5,.,CW,77.3,.,2,1,N,A
B2,16,5,.,HW,40.2,.,2,2,S,A
B2,16,5,.,HW,39.1,31.4,2,2,N,A
B2,16,5,.,HW,58.0,.,2,1,N,A
B2,16,.,5.64,HW,8.9,4.3,2,3,S,A
B2,17,5,.,HW,27.9,.,1,2,N,A
B2,17,5,.,HW,26.4,.,2,2,S,A
B2,17,5,.,HW,59.7,.,2,1,N,A
B2,17,5,.,HW,47.4,31.0,2,1,N,A
B2,17,5,.,HW,81.3,33.8,2,1,N,A
