Unit,Gd Pt,Plot.Size,Spp,DBH,Tree Class,Comments,measurement date
A1,F150,1.78,Ac,6.3,,,August/September 2018
A3,H000,1.26,Ac,9.8,,,August/September 2018
B4,C250,1.26,At,4.1,,,August/September 2018
D3,B100,3.99,Ba,7.7,,,August/September 2018
D4,C150,2.52,Ba,7,,,August/September 2018
C3,A000,2.52,Bl,4.1,,,August/September 2018
D4,D050,2.52,Bl,4.5,,,August/September 2018
D2,D450,1.26,Bl,7.7,,,August/September 2018
D2,D450,1.26,Bl,8.1,,,August/September 2018
D5,E000,1.78,Bl,8.5,,,August/September 2018
D5,E100,1.78,Bl,4,,,August/September 2018
D4,E600,2.52,Bl,6.4,,,August/September 2018
D4,E600,2.52,Bl,9,,,August/September 2018
D4,F050,2.52,Bl,7.5,,,August/September 2018
B4,F200,2.52,Bl,5,,,August/September 2018
A1,A000,1.78,Cw,5.9,,,August/September 2018
B5,A000,3.99,Cw,4,,,August/September 2018
B1,A050,3.99,Cw,4,,,August/September 2018
A2,B050,3.99,Cw,8.7,,,August/September 2018
A2,B050,3.99,Cw,9.9,,,August/September 2018
B1,B100,3.99,Cw,6.9,,,August/September 2018
B1,B100,3.99,Cw,7,,,August/September 2018
B1,B100,3.99,Cw,7,,,August/September 2018
B3,B150,2.52,Cw,4.6,,,August/September 2018
D4,B150,2.52,Cw,9,,,August/September 2018
A2,B150,3.99,Cw,6.2,,,August/September 2018
A2,B150,3.99,Cw,7.5,,,August/September 2018
B2,B200,2.52,Cw,9.6,,,August/September 2018
B1,B300,3.99,Cw,4,,,August/September 2018
B5,C000,3.99,Cw,5.1,,,August/September 2018
B5,C000,3.99,Cw,6.2,,,August/September 2018
B5,C000,3.99,Cw,6.2,,,August/September 2018
D2,C100,2.52,Cw,5.1,,,August/September 2018
A2,C100,2.52,Cw,5.7,,,August/September 2018
D2,C100,2.52,Cw,7,,,August/September 2018
B3,C100,3.99,Cw,9.9,,,August/September 2018
B5,C150,1.78,Cw,4.1,,,August/September 2018
B1,C150,3.99,Cw,5.2,,,August/September 2018
B4,C250,1.26,Cw,4.1,,,August/September 2018
B1,C350,3.99,Cw,6,,,August/September 2018
B3,D000,2.52,Cw,4.6,,,August/September 2018
B3,D000,2.52,Cw,6.5,,,August/September 2018
B1,D100,3.99,Cw,7.5,,,August/September 2018
B5,D150,3.99,Cw,4,,,August/September 2018
B5,D150,3.99,Cw,7.3,,,August/September 2018
B5,D150,3.99,Cw,9.2,,,August/September 2018
B5,D150,3.99,Cw,9.6,,,August/September 2018
A1,D200,1.26,Cw,4.4,,,August/September 2018
A1,D200,1.26,Cw,4.6,,,August/September 2018
B4,D200,1.78,Cw,8.1,,,August/September 2018
B4,D200,1.78,Cw,8.9,,,August/September 2018
A3,D200,2.52,Cw,5.5,,,August/September 2018
D2,D300,2.52,Cw,8.5,,,August/September 2018
B1,D300,3.99,Cw,5.1,,,August/September 2018
B1,D300,3.99,Cw,7.1,,,August/September 2018
A3,D350,2.52,Cw,6,,,August/September 2018
B5,D400,3.99,Cw,7.7,,,August/September 2018
B5,D400,3.99,Cw,7.9,,,August/September 2018
B5,D400,3.99,Cw,8.5,,,August/September 2018
B3,E050,3.99,Cw,4.3,,,August/September 2018
B3,E050,3.99,Cw,4.7,,,August/September 2018
B3,E250,1.26,Cw,5.1,,,August/September 2018
B4,E250,2.52,Cw,6.1,,,August/September 2018
B4,E250,2.52,Cw,6.9,,,August/September 2018
B4,E250,2.52,Cw,9.1,,,August/September 2018
B5,E300,2.52,Cw,5.8,,,August/September 2018
B5,E300,2.52,Cw,7.6,,,August/September 2018
B3,F000,1.26,Cw,4.5,,,August/September 2018
D4,F150,2.52,Cw,4.2,,,August/September 2018
B5,F200,3.99,Cw,4.7,,,August/September 2018
B5,F200,3.99,Cw,7.6,,,August/September 2018
A2,F250,1.78,Cw,8.9,,,August/September 2018
B1,F250,3.99,Cw,4,,,August/September 2018
B1,F250,3.99,Cw,6.5,,,August/September 2018
B1,F250,3.99,Cw,7,,,August/September 2018
B1,F250,3.99,Cw,8,,,August/September 2018
B1,F250,3.99,Cw,9,,,August/September 2018
B3,F300,2.52,Cw,4.2,,,August/September 2018
B1,G000,3.99,Cw,5,,,August/September 2018
B1,G150,3.99,Cw,4.3,,,August/September 2018
B1,G150,3.99,Cw,5.1,,,August/September 2018
B1,G150,3.99,Cw,6.6,,,August/September 2018
