"Unit","PlotNum"
"A1","0.1"
"A1","0.4"
"A1","0.7"
"A1","0.10"
"A1","0.12"
"A1","0.15"
"A1","0.18"
"A1","0.21"
"A1","0.23"
"A1","0.26"
"A1","0.29"
"A1","0.32"
"A1","0.35"
"A1","0.36"
"A2","1.2"
"A2","1.5"
"A2","2.1"
"A2","2.4"
"A2","2.7"
"A2","3.1"
"A2","3.4"
"A2","3.7"
"A2","3.10"
"A2","3.13"
"A2","4.3"
"A2","4.6"
"A2","4.9"
"A3","1.3"
"A3","2.2"
"A3","2.5"
"A3","2.8"
"A3","2.11"
"A3","2.14"
"A3","3.1"
"A3","3.4"
"A3","3.7"
"A3","3.10"
"A3","3.13"
"A3","3.16"
"A3","4.3"
"A3","4.6"
"A3","4.9"
"A3","4.15"
"A4","0.2"
"A4","0.5"
"A4","0.8"
"A4","0.11"
"A4","0.14"
"A4","0.17"
"A4","0.20"
"A4","0.23"
"A4","0.25"
"A4","0.26"
"A4","0.31"
"A4","0.34"
"A4","0.37"
"A4","0.44"
"A4","0.47"
"A4","0.50"
"A4","0.53"
"A4","0.56"
"A4","0.59"
"A4","0.62"
"A4","0.63"
"A4","0.66"
"A4","0.69"
"A4","10.1"
"A4","11.2"
"A4","11.5"
"A4","12.1"
"A4","12.4"
"B1","1.3"
"B1","1.6"
"B1","1.9"
"B1","1.12"
"B1","2.1"
"B1","2.4"
"B1","2.7"
"B1","2.10"
"B1","2.13"
"B1","3.2"
"B1","3.5"
"B1","3.8"
"B1","3.11"
"B1","3.14"
"B1","4.3"
"B1","4.6"
"B1","4.9"
"B2","1.1"
"B2","1.4"
"B2","2.2"
"B2","2.5"
"B2","2.8"
"B2","3.1"
"B2","3.4"
"B2","3.7"
"B2","3.10"
"B2","3.13"
"B2","4.1"
"B2","4.4"
"B2","4.7"
"B2","4.10"
"B2","4.13"
"B2","4.16"
"B3","1.1"
"B3","1.4"
"B3","1.7"
"B3","2.1"
"B3","2.4"
"B3","2.7"
"B3","2.10"
"B3","3.1"
"B3","3.2"
"B3","3.4"
"B3","3.7"
"B3","3.10"
"B3","4.3"
"B3","4.6"
"B3","4.9"
"B3","5.1"
"B3","5.4"
"B3","5.7"
"B4","1.2"
"B4","1.5"
"B4","2.2"
"B4","2.5"
"B4","2.8"
"B4","2.11"
"B4","2.12"
"B4","3.3"
"B4","3.6"
"B4","3.9"
"B4","3.12"
"B4","3.13"
"B4","4.1"
"B4","4.4"
"B5","1.3"
"B5","1.6"
"B5","1.9"
"B5","2.3"
"B5","2.6"
"B5","2.9"
"B5","2.12"
"B5","2.15"
"B5","3.1"
"B5","3.4"
"B5","3.7"
"B5","3.10"
"B5","3.13"
"C1","1.2"
"C1","2.3"
"C1","2.6"
"C1","2.9"
"C1","2.12"
"C1","3.1"
"C1","3.4"
"C1","3.7"
"C1","3.10"
"C1","3.13"
"C1","3.16"
"C1","4.2"
"C1","4.5"
"C1","4.8"
"C2","1.1"
"C2","2.2"
"C2","2.5"
"C2","3.2"
"C2","3.5"
"C2","3.8"
"C2","3.11"
"C2","3.14"
"C2","4.2"
"C2","4.5"
"C2","4.8"
"C2","4.11"
"C2","4.14"
"C3","1.1"
"C3","1.4"
"C3","1.7"
"C3","1.8"
"C3","1.22"
"C3","2.4"
"C3","2.7"
"C3","2.10"
"C3","3.3"
"C3","3.6"
"C3","3.9"
"C3","3.12"
"C3","3.15"
"C3","4.2"
"C3","4.5"
"C3","4.8"
"C3","4.11"
"C3","5.1"
"C3","5.4"
"D2","1.3"
"D2","1.6"
"D2","1.9"
"D2","2.3"
"D2","2.6"
"D2","2.9"
"D2","2.12"
"D2","3.3"
"D2","3.6"
"D2","3.9"
"D2","4.1"
"D3","1.3"
"D3","1.6"
"D3","1.9"
"D3","1.11"
"D3","1.12"
"D3","1.15"
"D3","2.3"
"D3","2.6"
"D3","2.9"
"D3","2.12"
"D3","2.15"
"D3","2.18"
"D3","2.21"
"D3","2.24"
"D3","3.3"
"D3","3.6"
"D4","1.2"
"D4","1.5"
"D4","2.2"
"D4","2.5"
"D4","2.8"
"D4","2.11"
"D4","2.14"
"D4","2.17"
"D4","2.19"
"D4","2.20"
"D4","3.2"
"D4","3.5"
"D4","3.8"
"D4","3.11"
"D5","1.1"
"D5","1.4"
"D5","1.7"
"D5","1.10"
"D5","1.13"
"D5","1.16"
"D5","2.1"
"D5","2.4"
"D5","2.7"
"D5","2.10"
"D5","2.13"
"D5","2.14"
"D5","3.3"
"C1","5.1"
"D2","4.4"
